nama_usaha,alamat_usaha,badan_usaha,penanggung_jawab,wilayah,jenis_usaha
Chicken Story,Jl. Boulevard Kelapa Gading Blok M,PT. Prime Restaurant Indonesia,Harry Sanusi,Jakarta Utara,Restoran
Chicken Story,"Green Bay Pluit Mall, Jl. Pluit Karang Ayu Blok B.I",PT. Prime Restaurant Indonesia,Sugih Sutanto,Jakarta Utara,Restoran
Chinese Food A Hwa,Jl. Pluit Karang Timur Blok O.8.T,-,Marvianto,Jakarta Utara,Restoran
Chunagon,Jl. Mangga Dua Raya,,Harryanto B.K,Jakarta Utara,Restoran
Chung Gi Wa,Jl. Raya Boulevard Barat,CV. Chung Gi Wa,Young Chul Lee,Jakarta Utara,Restoran
Chung Gi Wa,Jl. Raya Boulevard Barat,CV. Chung Gi Wa,Young Chul Lee,Jakarta Utara,Restoran
Chung Hua,Jl. Griya Utama Blok A No. 29-30,Fatima Mawardi,Fatima Mawardi,Jakarta Utara,Restoran
Chung Hua,Jl. Griya Utama Blok A No. 29-30,Fatima Mawardi,Fatima Mawardi,Jakarta Utara,Restoran
Cin Yen,"Rukan Exclusive Mediterania Blok C No.10, PIK",,Lili Satya,Jakarta Utara,Restoran
Club M Karaoke,Komp. Ruko Bukit Gading Raya Blok U5-U6,H. Azwar Chesputra,H. Azwar Chesputra,Jakarta Utara,Restoran
Coffee Bar,Rukun Crown Golf Blok D No.15-16 RT004/RW003,PT. Sukses Maju Bersama Abadi,Raymond Poh,Jakarta Utara,Restoran
Coffee Bar,Rukan Crown Golf Blok D No.15-16 RT004/RW003,PT. Sukses Maju Bersama Abadi,Raymond Poh,Jakarta Utara,Restoran
Coffee Corner,Jl. Boulevard Kelapa Gading Blok M Unit #G-9C,,Sutardjo,Jakarta Utara,Restoran
Coin's,Jl. Sunter Agung Utara Raya Blok A No. 5B,PT. Coins Hotel Indonesia,Carol Korompis,Jakarta Utara,Restoran
Columbus Fried Chicken,"Taman Impian Jaya Ancol, Jl. Lodan Timur No. 7",PT. Seabreez Indonesia,Drs. Agus Rochiyardi,Jakarta Utara,Restoran
Columbus Fried Chicken,Jl. Lodan Raya No. 103,PT. Seabreez Indonesia,H.Falaah K Djafar,Jakarta Utara,Restoran
Copa Cabana,"Taman Impian Jaya Ancol, Jl. Pantai Indah",PT. Citra Indonesia,Drs. Tagor Lumban Raja,Jakarta Utara,Restoran
Costare,Jl. Pantai Indah Kapuk Boulevard UB-Gra/003,Surijawati Sumihardjo,Surijawati Sumihardjo,Jakarta Utara,Restoran
Costare,Jl. Pantai Indah Kapuk Boulevard UB-Gra/003,Surijawati Sumihardjo,Surijawati Sumihardjo,Jakarta Utara,Restoran
Coto Konro,Marina Ruko Crown Golf Blok A/53,PT. Marsindo Bless,Ricky Haryanto,Jakarta Utara,Restoran
Coto Konro,Marina Ruko Crown Golf Blok A/53,PT. Marsindo Bless,Ricky Haryanto,Jakarta Utara,Restoran
Crapoe,"Komp. Ruko Marinatama Blok C 12, Jl. Gunung Sahari Raya No. 2",,Rudi Yanto Jap,Jakarta Utara,Restoran
Cravin Resto,Jl. Danau Sunter Barat 7 RW010,PT. Kita Datang Makan Yuu,Gouw Kwe Sen,Jakarta Utara,Restoran
Crown Palace,Jl. Pluit Raya No. 1,PT. Mahkota Mega Indah,Swandy Suherlim,Jakarta Utara,Restoran
Culina,"Gading Walk No. 9 & 11, Jl. Boulevard Kelapa Gading",PT. Selera Kian Makmur,Lin Manuhutu,Jakarta Utara,Restoran
D' Cost,Jl. Mangga Dua Raya,PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Utara,Restoran
D' Cost,Jl. Mangga Dua Raya No. 8,PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Utara,Restoran
D' Cost,Jl. Danau Sunter Barat Blok A.3 No. 2,PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Utara,Restoran
D' Cost,"WTC Mangga Dua, Jl. Mangga Dua Raya No. 8",PT. Pendekar Bodoh,"David Vincent Marsudi, Ir",Jakarta Utara,Restoran
D' Cost,Jl. Pantai Indah Utara No. 7-12,PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Utara,Restoran
D' Cost,Jl. Mangga Dua Raya,PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Utara,Restoran
D' Cost,"La Piazza Lt.2 Unit 2#5, Jl. Boulevard Kelapa Gading",PT. Pendekar Bodoh,David Vincent Marsudi,Jakarta Utara,Restoran
D' Cost,Jl. Raya Kelapa Nias Blok HF.3,,Johnnie Syam,Jakarta Utara,Restoran
Da Jiang Nan Bei,Jl. Raya Barat Boulevard LC 7 Kav. 57,,Tjia Jong Sin,Jakarta Utara,Restoran
Da Jiang Nan Bei,Jl. Raya Barat Boulevard LC 7 Kav. 57,,Tjia Jong Sin,Jakarta Utara,Restoran
Dae Jang Geum,Jl. Boulevard Raya Blok M,CV. Dae Jang Geum,Koh Kwan Duk,Jakarta Utara,Restoran
Daily Kitchen,"Apartemen Ancol Mansion, Jl. Pasir Putih II, Ancol Timur",PT. Panen Lestari Internusa,Indrawana Widjaja,Jakarta Utara,Restoran
Daily Kitchen,"Jl. Pasir Putih II, Ancol Timur",PT. Swalayan Sukses Abadi,Susan Logawa,Jakarta Utara,Restoran
Daisho Express,Jl. Pantai Indah Utara II,PT.Jaspindo Syukur,Esther Vidyati Purwadi,Jakarta Utara,Restoran
Danau Sunter,Jl. Danau Sunter Selatan No. 1,PT.Karya Dinamika Lestari,Ir.Hartono Wignjopranoto,Jakarta Utara,Restoran
Dante Coffee,Jl. Boulevard GA. 15 A,PT. Selera Sukses Pratama,Hengky Wijaya,Jakarta Utara,Restoran
Dapur Manado,Jl. Baru Podomoro Blok A No. 22,,Daniel Yan Dompas,Jakarta Utara,Restoran
Dapur Seafood,"Jl. Ruko Exclusive Blok B.27A-27B, PIK",Hendrik Setiadi,Hendrik Setiadi,Jakarta Utara,Restoran
Dapur Solo,Jl. Danau Sunter Utara Blok R/36-37,PT. Dapur Solo Sukses Sejati,Heru Kustanto Kumarga,Jakarta Utara,Restoran
Dapur Solo,Jl. Gaya Motor III No. 7,PT. Dapur Solo Sukses Sejati,Heru Kustanto Kumarga,Jakarta Utara,Restoran
Dapur Sunda,Jl. Raya Mandiri Tengah Blok M3,,H. Ansoroeddin,Jakarta Utara,Restoran
Dapur Sunda,"Mall of Indonesia, Jl. Boulevard Barat, Kelapa Gading Timur",PT.Dapur Sunda,H. Ansoroeddin,Jakarta Utara,Restoran
Darumaya Ramen,Jl. Boulevard Kelapa Gading Blok QF III No. 8R,PT. Dharma Makmur Indonesia,Haris Susanto,Jakarta Utara,Restoran
"Delta Hotel, Spa & Health Club",Jl. Boulevard Bukit Gading Raya Blok D 30,PT. Delta Duta Fortuna,Hendrik Prasetio,Jakarta Utara,Restoran
Delta Spa & Health Club,Jl. Gunung Sahari Blok F No. 21-23,CV. Eka Karya Sejahtera,Laksana Muljadi,Jakarta Utara,Restoran
Dermaga One,"Pantai Carnaval Taman Impian Jaya Ancol, Jl. Lodan Timur No. 7",PD. Metropolitan,Surjadi Salikin,Jakarta Utara,Restoran
Dharma Kitchen,Jl. Pluit Kencana Raya No. 110,PT. Dharma Kitchen Indonesia,Tony Widjaya,Jakarta Utara,Restoran
Dian Xiao Er,"Emporium Pluit Mall, Jl. Pluit Selatan Raya No. 1L",PT. Jaya Indomatrix Abadi,Ramon Benyamin Liando,Jakarta Utara,Restoran
Din Tai Fung,"Mall of Indonesia, Jl. Boulevard Barat Raya, Kelapa Gading Timur",PT. Dhanajaya Bogaindo,Dendy Sjahada H,Jakarta Utara,Restoran
Din Tai Fung,"Mall of Indonesia, Jl. Boulevard Barat Raya, Kelapa Gading Timur",PT. Dhanajaya Bogaindo,Dendy Sjahada H,Jakarta Utara,Restoran
Dinar,Jl. Pluit Indah Raya No. 168A,DINAR,Jimmy Widjaja,Jakarta Utara,Restoran
District,Jl. Kelapa Gading Boulevard Blok PA-1,PT. Amaranta Lestari,Ronny Mulyono,Jakarta Utara,Restoran
Dm 99 Café & Resto,Jl. Sunter Asri Blok A4/41,CV. Dennysa Mulyono 99,Denny Mulyono,Jakarta Utara,Restoran
Do'an,Jl. Boulevard Raya,PT. Anugerah Boga Sejahtera,Setiawan Adi Kuncoro,Jakarta Utara,Restoran
Do'an,Jl. Boulevard Raya,PT. Anugerah Boga Sejahtera,Setiawan Adi Kuncoro,Jakarta Utara,Restoran
Dominos Pizza,"Emporium Pluit Mall, Jl. Pluit Selatan Raya, Penjaringan",PT. Dom Pizza Indonesia,Ir. Jusroni,Jakarta Utara,Restoran
Domino's Pizza,"Sunter Mall, Jl. Danau Sunter Utara Blok G7 Kav. 2, Tanjung Priok",PT. Dom Pizza Indonesia,Jusroni,Jakarta Utara,Restoran
Domino's Pizza,"Mall Kelapa Gading, Jl. Boulevard Raya Selatan WA II No. 22, Kelapa Gading",PT. Dom Pizza Indonesia,Jusroni,Jakarta Utara,Restoran
Dragon Seafood,Rukan Crown Golf Blk No. 37,PT. Imperial Dragon Indonesia,Dewi Lestari.NG,Jakarta Utara,Restoran
E Bar,Crown Golf CGA No. 6-7,,Edi Amin,Jakarta Utara,Restoran
East Star,Jl. Mediterania Blok. BB No. 1,PT. Maha Indah Cipta,Fanny Ariffianto,Jakarta Utara,Restoran
Eaton,Jl. Pluit Karang Timur Blok B8T/110-111,PT. Cita Rasa Delindo,Hartanto Rusli,Jakarta Utara,Restoran
Eaton,Jl. Danau Sunter Utara Blok C 2/4,PT. Boga Indo Gemilang,Halim Susanto,Jakarta Utara,Restoran
Eaton,Jl. Boulevard Raya Q.A.I  No. 3-4,PT. Cita Rasa Delindo,Hartanto Rusli,Jakarta Utara,Restoran
Eleventh Hour,"La Piazza 1 ST Floor 1-9, Jl. Boulevard Kelapa Gading Blok M",PT. Citra Makmur Lestari,Wadhwa Pankaj,Jakarta Utara,Restoran
Elysium Lounge & Bar,"Mal Mangga Dua Square, Jl. Gunung Sahari Raya",PT. Haser Makmur Jaya,Davy Thirtabrata,Jakarta Utara,Restoran
Ever Fresh Fish Market,Jl. Boulevard Artha Gading,Tio Yosep,Tio Yosep,Jakarta Utara,Restoran
Family Mart,Jl. Raya Barat Boulevard Blok XC No. 7,PT. Fajar Mitra Indah,Theodorus Andri R,Jakarta Utara,Restoran
Fiesta Steak,"Mal Artha Gading, Jl. Boulevard Artha Gading Selatan No. 1",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Utara,Restoran
Fiesta Steak,"Mal Kelapa Gading, Jl. Boulevard Kelapa Gading Blok M",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Utara,Restoran
Fiesta Steak,"Emporium Pluit Mall, Jl. Pluit Selatan Raya, Penjaringan",PT. Cipta Adidaya Semesta,Christopher Aditya,Jakarta Utara,Restoran
Fiesta Steak,Jl. Boulevard,CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Utara,Restoran
Fiesta Steak,"Mall Of Indonesia, Jl. Boulevard Raya No. 1",PT. Cipta Adidaya Semesta,Christopher Aditya,Jakarta Utara,Restoran
Fiesta Steak,"Mal Kelapa Gading, Jl. Boulevard Kelapa Gading Blok M",CV. Fajar Indah Semesta,Indrasto Setiadi,Jakarta Utara,Restoran
Fish & Co,"Emporium Pluit Mall LT.GF, Jl. Pluit Selatan Raya, Penjaringan",PT. Gading Food,Henky Rusli,Jakarta Utara,Restoran
Fish & Co,"Rukan Crown Golf D25-26-27, Bukit Golf Mediterania, Jl. Marina Indah Raya, Pantai Indah Kapuk",PT. Mutiara Gading Sukses,Siauw Woen Tirtaamidjaja,Jakarta Utara,Restoran
Food Bloc,Ruko Elang Laut Boulevard PIK Blok B No. 51,Wiwik Pardin,Wiwik Pardin,Jakarta Utara,Restoran
Food Galery,Jl. Boulevard Kelapa Gading Blok M,PT. Panen Lestari Internusa,Indrawana Widjaja,Jakarta Utara,Restoran
Frankfurter Hotdog,Jl. Pluit Raya No. 1,,Purnamadewi Pusparini,Jakarta Utara,Restoran
Fuji,Jl. Pluit Indah Raya Megamal Unit 43,PT. indo Fuji Bogatama,Surya,Jakarta Utara,Restoran
Fujiyama Ramen,Jl. Boulevard Raya Blok FV. 1 No. 28 RT009/RW001,PT. NOJAWA INDONESIA,,Jakarta Utara,Restoran
Fujiyama Ramen,Jl. Boulevard Raya Blok FV. 1 No. 28 RT009/RW01,PT. NOJAWA INDONESIA,HERI RAHMAT,Jakarta Utara,Restoran
Fuku Tei,Jl. Pluit Selatan Raya,,Eddy Halim,Jakarta Utara,Restoran
Furama Restaurant,Jl. Bukit Gading Raya Kav. 1,PT. Wahyu Bintang Sentosa,Penny Lesmana,Jakarta Utara,Restoran
Gading Aroma,Jl. Boulevard Raya RA-27 No. 10,CV. Gading Aroma,Harry Santoso,Jakarta Utara,Restoran
Gado Gado Boplo,Jl. Boulevard Blok J 4 No. 12,,Juliana Hartono,Jakarta Utara,Restoran
Gahyo,"Gd. Sport Mall, Jl. Kelapa Mas Raya Blok HF 3",PT. Gahyo Sukses,Arif Purbo Warsono,Jakarta Utara,Restoran
Galangan Voc,Jl. Kakap No. 1 -3,PT. Sunda Kelapa Lestari,Susilawati,Jakarta Utara,Restoran
Gandy Steak House,"Jl. Boulevard Blok La 6 No. 1,2,3",,Fatma Polanti,Jakarta Utara,Restoran
Gangsan,Jl. Kelapa Gading Boulevard Blok PA.I No. 1-2,PT. Dunia Sommi,Iyus Rusna,Jakarta Utara,Restoran
Garuda,Jl. Boulevard Barat Blok LA I No. 1A,,Andry Kesuma Atmaja,Jakarta Utara,Restoran
Gastro Alley,Ruko Crown Golf Standar Blok D No. 023,PT. Gastro Multi Kreasi,Darmawan Tanjung Tan,Jakarta Utara,Restoran
Girll Master Resto,Jl. Kelapa Gading Boulevard Blok PD9 Kav. No.7,,Gunawan Latif,Jakarta Utara,Restoran
Gogur Yeo,"Ruko Gading Batavia, Jl. Bukit Gading Raya LC8",PT. Goguryeo Mitratama,Erythrina Widiasari,Jakarta Utara,Restoran
Gokana Teppan,Jl. Boulevard Kelapa Gading No. 198A&B,PT. Champ Resto Indonesia,Drs. Yunus Ciptawilangga. MBA,Jakarta Utara,Restoran
Gokana Teppan,"Mal Kelapa Gading, Jl. Boulevard Kelapa Gading No. 198A&B",PT. Champ Resto Indonesia,Drs. Yunus Ciptawilangga. MBA,Jakarta Utara,Restoran
Golden Jade Kitchen,Jl. Boulevard Gading No. 15B,PT. Cahaya Permata Murni,Sung Sau Chun,Jakarta Utara,Restoran
Golden Leaf,"Plaza Kelapa Gading, Jl. Raya Boulevard Barat",CV.Tri Boga Lestari,Simon Teh,Jakarta Utara,Restoran
Grab & Go,Ancol Beach City G - 25,PT. Grand Putra Abadi,Chandra Aliwarga,Jakarta Utara,Restoran
Grand Prince,"Amanyaak Loft of Ploeit, Jl. Pluit Timur Blok L Bar",PT. Pangran Amboja,Zheng Li Qiang,Jakarta Utara,Restoran
Grandma's Suki,"Jl. Kelapa Gading Boulevard Raya Blok LB3 No. 1-2, Kelapa Gading",PT. Grandma Food International,Zuhari Lowis,Jakarta Utara,Restoran
Green Kitchen,Jl. Muara Karang Blok B.8T No. 84-85,,Wiwie Soetiono,Jakarta Utara,Restoran
Haagen Dazs,"Jl. Pluit Selatan Raya, Penjaringan",HAAGEN DAZS,Widhi Darmawan,Jakarta Utara,Restoran
Hailam Kopitiam,Jl. Kelapa Gading Boulevard QA-3 Kav. No. 21,PT. Karunia Bersama Cemerlang,Jusuf Angling Darma,Jakarta Utara,Restoran
Hanamasa,"Mall Mangga Dua Square, Jl. Gunung Sahari Raya No. 1, Pademangan",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Utara,Restoran
Hanamasa,"Mall Artha Gading, Jl. Boulevard Artha Gading Selatan No. 1",PT. Adi Boga Cipta,"H. Rachmatullah, SE",Jakarta Utara,Restoran
Hanamasa,"Pluit Village, Jl. Pluit Indah Raya, Pluit, Penjaringan",PT. Adi Boga Cipta,Rachmatullah,Jakarta Utara,Restoran
Hanamasa Yakiniku,"Sport Mal Kelapa Gading, Jl. Raya Kelapa Nias Blok HF 3, Kelapa Gading",PT. Adi Boga Cipta,"Rachmatullah, SE",Jakarta Utara,Restoran
Hang Gang,"Baywalk Mall Lt. 1 Unit 7, Jl. Pluit Karang Ayu B1",PT. Prioritas Prima Ideal,Arifin Leo,Jakarta Utara,Restoran
Hangover,"Bukit Golf Mediterania Rukan Cordoba Blok E-16, Jl. Marina Indah Raya, Pantai Indah Kapuk",PT. Hangover Indonesia,Sastra Siaputra,Jakarta Utara,Restoran
Hanok,Rukan Crown Golf BGM PIK Blok A/031 RT003,PT. Aneka Cipta Makanan Indonesia,Yono Hadianto,Jakarta Utara,Restoran
Happy,Jl. Muara Karang Blok Z 4u/15-17,PT. Happy Muara Karang,Agus Sumarli,Jakarta Utara,Restoran
Happy,Jl. Muara Karang Blok Z 4u/15-17,PT. Happy Muara Karang,Agus Sumarli,Jakarta Utara,Restoran
Happy Family ( Family Ria ),Jl. Sunter Agung Utara Blok M No. 37,-,Bong Djan Bie,Jakarta Utara,Restoran
Happy Kitchen,Jl. Boulevard Kelapa Gading Blok M,PT. Wahana Jaya Cemerlang,Tri Apridianto,Jakarta Utara,Restoran
Happy Puppy,"Mal Kelapa Gading LA Piazza Unit II, Jl. Boulevard Kelapa Gading",PT. Mitra Sakti Intiperkasa,Melinna Aprilia,Jakarta Utara,Restoran
Happy Puppy,Jl. Boulevard Raya LB III No. 27,PT. Imperium Happy Puppy,Santoso Setyadi,Jakarta Utara,Restoran
Happy Puppy,"Mal Kelapa Gading LA Piazza Unit II, Jl. Boulevard Kelapa Gading",PT. Mitra Sakti Intiperkasa,Melinna Aprilia,Jakarta Utara,Restoran
Happy Puppy,"Metro Broadway, Jl. Pantai Indah Utara II Blok.A",PT. Duta Swara Dharma,Tjan Daniel Tjandra,Jakarta Utara,Restoran
Hawai,Jl. Danau Sunter Utara Blok M No. 28,,Sukardi Halim,Jakarta Utara,Restoran
Hawai Vegetarian Food,Jl. Muara Karang Blok 08 Timur No. 57-58,PT. Hawai Vegetarian Food,Reagen,Jakarta Utara,Restoran
Hawai Vegetarian Food,Jl. Muara Karang Blok 08 Timur No. 57-58,PT. Hawai Vegetarian Food,Reagen,Jakarta Utara,Restoran
Hay Thien,"Jl. Boulevard Raya FV.I/33, Kelapa Gading",Nasiwen,Nasiwen,Jakarta Utara,Restoran
Hay Thien,Jl. Muara Karang Raya Blok 8 T/95,-,Dharmadi Samsudin,Jakarta Utara,Restoran
Healthy Choice,Jl. Boulevard Raya Blok WB II No. 21-22,PT. Indospirit Natura,Stevan Lie,Jakarta Utara,Restoran
Hoka Hoka Bento,Jl. Muara Karang Raya Blok A8U No. 65,PT. Eka Boga Inti,Hendra Arifin,Jakarta Utara,Restoran
Hokben,Jl. Muara Karang Raya Blok A8U No. 65,PT. Eka Boga Inti,Hendra Arifin,Jakarta Utara,Restoran
Hokben,"Mega Mall Pluit Lt. 4, Jl. Pluit Indah Raya Permai",PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,Restoran
Hokben,Jl. Arteri Mangga Dua Pasar Pagi,PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,Restoran
Hokben,"Mal Artha Gading, Jl. Sentra Artha Gading B-I/9-1",PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,Restoran
Hokben,Jl. Boulevard Raya Blok WE-2/1G,PT.Eka Boga Inti,Hendra Arifin,Jakarta Utara,Restoran
Hokben,Jl. Danau Sunter Utara A/2,PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,Restoran
Hokben,"Mal Kelapa Gading, Jl. Boulevard Kelapa Gading",PT. Eka Bogainti,Hendra Arifin,Jakarta Utara,Restoran
Hokkaido Fish Market,Jl. Muara Karang Raya Blok D7 Utara Kav. 6-7,PT. Rustoyusu Manhattan Internasion,Benny Tanadi,Jakarta Utara,Restoran
Hokuo,Jl. Raya Kelapa Hibrida Blok PE-10 Kav. No. 1A,PT. Agrapana Boga Indonesia,Andreas Alam Sebastian,Jakarta Utara,Restoran
Hollywood,"Bukit Gading Indah, Jl. Bukit Gading Raya/L. 28-2",PT. Pertama Inti Power,Santra,Jakarta Utara,Restoran
Honeymoon Dessert Emporium,"Jl. Pluit Selatan Raya, Penjaringan",,Iskandar,Jakarta Utara,Restoran
Hops & Malt,Jl. Pantai Indah Kapuk Boulevard UB-RGB No. 01,PT. Kertajaya Mulia,Kenny Handra,Jakarta Utara,Restoran
Hops & Malt,Jl. Pantai Indah Kapuk Boulevard UB-RGB No. 01,PT. Kertajaya Mulia,Kenny Handra,Jakarta Utara,Restoran
Hot Station,Jl. Muara Karang Blok Z.4.U,PT.Indo Bistro Istimewa,Tjhia Very Gunawan,Jakarta Utara,Restoran
Hotshots Burger,Jl. Boulevard  Kelapa Gading,PT. Triandra Rasa Investama,Drs. Joeliardi Sunendar,Jakarta Utara,Restoran
Hottencole,"Bukit Golf Mediterania, Jl. Pantai Indah Barat No. 1, Kamal Muara, Penjaringan, Pantai Indah Kapuk",PT. Terus Maju Sekawan,Felix Tenggara Wikarta,Jakarta Utara,Restoran
Hottencole,"Bukit Golf Mediterania, Jl. Pantai Indah Barat No. 1, Kamal Muara, Penjaringan, Pantai Indah Kapuk",PT. Terus Maju Sekawan,Felix Tenggara Wikarta,Jakarta Utara,Restoran
House Of Pasta,Jl. Boulevard Raya H4 No. 8,Novenia Setiawan,Novenia Setiawan,Jakarta Utara,Restoran
Hungry Hiro,Pantai Indah Barat Ruko Crown Golf Blok B/32A,PT. Takemori Asia Abadi,Leily Rosalia Gema,Jakarta Utara,Restoran
Hungry Hiro,Pantai Indah Barat Ruko Crown Golf Blok B/32A,PT. Takemori Asia Abadi,Leily Rosalia Gema,Jakarta Utara,Restoran
Hungry Town,Jl. Lodan Timur No. 7,PT. Popindo Selera Prima,Benny Hadisurjo,Jakarta Utara,Restoran
Hwang Geum Bab Sang,Jl. Gading Batavia LC 11 No. 5 RT013/RW007,PT. Sin Na Mie,Kim Jang Young,Jakarta Utara,Restoran
Hwang Geum Bab Sang,Jl. Gading Batavia LC 11 No. 5 RT013/RW007,PT. Sin Na Mie,Kim Jang Young,Jakarta Utara,Restoran
I - Ta Suki,"Mall Pluit Junction, Jl. Pluit Raya No. 1",PT. Damai Berkat Bersaudara,Simon Nurgiri Simansjah,Jakarta Utara,Restoran
Ibiza - Chamomile,Jl. Pluit Raya No. 1 RT021/RW006,PT. Multi Wahana Utama,Hartono,Jakarta Utara,Restoran
Ichiban Sushi,"Mall Of Indonesia, Jl. Raya Boulevard Barat, Kelapa Gading",PT.Gading Food Investama,Ossan Donny Widjaja,Jakarta Utara,Restoran
Ichiban Sushi,Jl. Boulevard Kelapa Gading,PT.Brostindo Prima Indonesia,Bernt Han Lee Ramli,Jakarta Utara,Restoran
Ichiban Sushi,"Kelapa Gading Mall, Jl. Boulevard Kelapa Gading",PT. Brostindo Prima Indonesia,Bernt Han Lee Ramli,Jakarta Utara,Restoran
Ichibiru,"Food Centrum Sunter Unit GF-07, Jl. Griya Utama Blok A No. 67-68, Tanjung Priok",PT. Ohana Kreatif Eterna,Eric Edisanto,Jakarta Utara,Restoran
Ikan Goreng Cianjur,Jl. Boulevard Raya Blok QA-3/19-20,PT. Mitra Cipta Rasa,Dormiana Herawati,Jakarta Utara,Restoran
Ikan Tude Manado,Jl. Kelapa Gading Boulevard Blok TA-2 No. 31-32,Jhony Rempas,Jhony Rempas,Jakarta Utara,Restoran
Ikana Ikana,Jl. Pantai Indah Selatan I No. 30,PT. Anugrah Sari Sekawan,Lie Wie Phin,Jakarta Utara,Restoran
Ikana Ikana,Jl. Pantai Indah Selatan I No. 30,PT. Anugrah Sari Sekawan,Lie Wie Phin,Jakarta Utara,Restoran
Ikapu,Jl. Danau Sunter Utara No. 6,PT. Sinar Mas Jaya,Tjung Tje Fung,Jakarta Utara,Restoran
Ikkousha,Jl. Kelapa Gading Boulevard Blok W.A.2-19/20,PT. Rumah Bahagia Pertama,Sumitro,Jakarta Utara,Restoran
Ikkousha,Jl. Pluit Karang No. 85 Blok A-8 Kav. No. 4,PT. Rumah Bahagia Pertama,Masaaki Oishi,Jakarta Utara,Restoran
Ikkousha,"Pantai Indah Kapuk Rukan Garden House Blok A, Jl. Raya Pantai Indah Kapuk",PT. Rumah Bahagia Pertama,Sumitro,Jakarta Utara,Restoran
Ikkousha,Jl. Pluit Karang No. 85 Blok A-8 Kav. No. 4,PT. Rumah Bahagia Pertama,Masaaki Oishi,Jakarta Utara,Restoran
Ikkudo - Ichi,Rukan Crown Golf Blok D No. 2-3,PT. Enak Tau Indonesia,Irene Tjahyadi,Jakarta Utara,Restoran
Ikkudo Ichi,Jl. Boulevard Raya Blok L6,PT. Mie Gading Boulevard,Irene Tjahyadi,Jakarta Utara,Restoran
Ikkudo Ichi,"Sunter Icon, Jl. Griya Sejahtera No. 1",PT. Mie Sunter Sejahtera,Irene Tjahyadi,Jakarta Utara,Restoran
Ilha Formosa,"Rukan Cordoba Blok G No. 1, Bukit Golf Mediterania, Jl. Raya Pantai Marina Indah",PT. Mega Mama,Olivia Sorman,Jakarta Utara,Restoran
Imperial Chef,"Emporium Pluit Mall, Jl. Pluit Selatan Raya Unit 3",PT. Selera Sejahtera Makmur,Ibin Bachtiar,Jakarta Utara,Restoran
Imperial Duck,Jl. Gunung Sahari Raya,,Kurniawati Dewi S,Jakarta Utara,Restoran
Imperial Wok,Jl. Rukan Gold Coast A No. 15-16,PT.Food Topia,Roni Ang,Jakarta Utara,Restoran
Ing Suki,Jl. Telok Gong Raya No. 7 RT002/RW009,,Boe Sian In,Jakarta Utara,Restoran
Inkopal,Jl. Boulevard Barat No. 1 Lt.3,Induk Koperasi TNI Angkatan Laut,"Mochamad Noor, SE",Jakarta Utara,Restoran
Inul Vizta,Jl. Boulevard Barat Raya,PT. Suka Nada Indah,Paulina Wahyuasih Indrawati,Jakarta Utara,Restoran
Inul Vizta,"Pluit Junction Lt. 5, Jl. Pluit Raya No. 1",PT. Pratama Sukses Gemilang,Kim Sung Ku,Jakarta Utara,Restoran
Inul Vizta,"Ruko Puri Mutiara Gading Utama Blok C No. 22-23, Sunter",CV. Maju Sukses Bersama,Linda Husein,Jakarta Utara,Restoran
Ipot Suki,Jl. Danau Sunter Utara Blok M Kav. No. 1,PT. Nano Boga Rasa,Marcel Nugroho,Jakarta Utara,Restoran
Ipot Suki,Rukan Crown Golf Standart Blok D No. 51-52-52,PT. Nano Boga Rasa,Marcel Nugroho,Jakarta Utara,Restoran
Ippeke Komachi,"Mal Kelapa Gading 3, Jl. Boulevard Kelapa Gading ",PT.Kilimanjaro Abadi,Muslikhatun,Jakarta Utara,Restoran
Iton,Jl. Pluit Karang Timur Blok B VIII Timur/115,PT. Iton Food Indonesia,Arifin Rusli,Jakarta Utara,Restoran
Jang Teoh,Gading Batavia Blok LC 10 No. 09,PT. Inkor Jaya Utama,Joko Susilo,Jakarta Utara,Restoran
Jang Teoh,Gading Batavia Blok LC 10 No. 09,PT. Inkor Jaya Utama,Joko Susilo,Jakarta Utara,Restoran
Jemahdi Seafood,"PIK Blok D No. 59-61, Rukan Crown Golf Standar",PT. Serasi Mitra Sukses,Hendri,Jakarta Utara,Restoran
Jia Wei Restaurant,"Mangga Dua Square, Jl. Gunung Sahari Raya No. 1, Pademangan Barat",,Kurniawati Dewi S,Jakarta Utara,Restoran
Jimbaran,"Taman Impian Jaya Ancol, Jl. Lodan Timur No. 7",PT. Jimbaran Jaya,I Nyoman Suarjana,Jakarta Utara,Restoran
Joy Café,Jl. Raya Gading Batavia Blok LC No. 18,-,Rudy Djaja,Jakarta Utara,Restoran
